date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:45	72937/72937	---M--	200	added ('OK')	image/jpeg	etag:%2211ce9-5b12755e534fc%22	https://www.wrappixel.com/demos/ui-kit/wrapkit/assets/images/testimonial/2.jpg	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/www.wrappixel.com/demos/ui-kit/wrapkit/assets/images/testimonial/2.jpg	(from https://digikit.netlify.app/pages/page_plans.html)
16:08:46	80126/80126	---M--	200	added ('OK')	image/jpeg	etag:%22138fe-5b12755e534fc%22	https://www.wrappixel.com/demos/ui-kit/wrapkit/assets/images/testimonial/3.jpg	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/www.wrappixel.com/demos/ui-kit/wrapkit/assets/images/testimonial/3.jpg	(from https://digikit.netlify.app/pages/page_plans.html)
16:08:46	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_blog.html)
16:08:47	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_blog.html)
16:08:47	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_blog%20details.html)
16:08:47	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_blog%20details.html)
16:08:48	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_article)
16:08:48	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_article)
16:08:48	3156/3156	---MCZ	404	error ('Not%20Found')	text/html	etag:1585567532-ssl-df	https://digikit.netlify.app/pages/images/bg/here.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/images/bg/here.png	(from https://digikit.netlify.app/pages/page_article)
16:08:48	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_contact.html)
16:08:49	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_contact.html)
16:08:49	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_help.html)
16:08:49	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/page_help.html)
